name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
uc011clv.1-x0-0	uc011clv.1-x0-0	1468.96879379284	-0.0304900929260164	0.173182420275909	-0.176057667270387	0.860248637992825	0.999958274405444
uc003jaq.4-x0-0	uc003jaq.4-x0-0	46.0768569214446	-0.162633152523866	0.549801064156908	-0.295803633580185	0.767380047921728	0.999958274405444
uc021xvu.1-x0-0	uc021xvu.1-x0-0	187.442841643077	0.027230513060225	0.271977246825253	0.10012055559089	0.920248616325255	0.999958274405444
uc010isw.1-x0-0	uc010isw.1-x0-0	103.428981589779	-0.285771249743651	0.364895160259922	-0.783159879511942	0.433533231610002	0.999958274405444
uc010isy.3-x0-0	uc010isy.3-x0-0	35.2598145824911	1.35032317444732	3.09103434025793	0.4368515602886	0.662219003447683	0.999958274405444
uc010isz.3-x0-0	uc010isz.3-x0-0	94.003471078006	-0.59707188111829	0.737767089273711	-0.809295900832433	0.418344963530457	0.999958274405444
uc003jax.3-x0-0	uc003jax.3-x0-0	1.24590787481287	-3.87759400126321	3.96375574739101	-0.97826259950944	0.327944462607079	1
uc003jay.3-x0-0	uc003jay.3-x0-0	2.72982702947004	4.84585552978251	3.9275058259608	1.23382516653481	0.217268059462179	1
uc003jaz.3-x0-0	uc003jaz.3-x0-0	8.82473482269641	0.700142868098843	1.72710988229472	0.405384090078045	0.68519520385569	0.999958274405444
uc003jbb.1-x0-0	uc003jbb.1-x0-0	20.142252123433	0.0102950838812808	0.561172228981945	0.0183456759789373	0.985363089425959	0.999958274405444
uc031sim.1-x0-0	uc031sim.1-x0-0	50.509801912927	-0.768571699856239	0.333681581811512	-2.30330872829051	0.0212614789006941	0.434963431257501
uc011clz.1-x0-0	uc011clz.1-x0-0	56.1098375324867	0.0857558724757767	0.270875936641718	0.316587266993761	0.751556798646963	0.999958274405444
DAC+SB.671.1-x1-0	DAC+SB.671.1-x1-0	17.6811753879547	0.244575441081806	0.816720140878858	0.299460523672922	0.76458868829881	0.999958274405444
